0(59503577, 67522927) 2(23897663, 86769367) | 3(7858963, 89656333, '10')
19(48703763, 75684259) 22(45132815, 77866505) | 50(18945863, 87984191, '10')
1(60086075, 67006205) 3(44817143, 78048649) | 5(39608443, 80816701, '10')
0(59504319, 67523769) 2(23897961, 86770449) | 3(7859061, 89657451, '10')
0(61732251, 65493459) 2(15486489, 88659081) | 3(755091, 89998299, '10')
0(58059727, 68770207) 1(49045073, 75464257) | 2(41547737, 79837703, '10')
0(59494843, 67532747) 5(34376393, 83177953) | 7(25907887, 86192167, '10')
0(59505061, 67524611) 2(23898259, 86771531) | 3(7859159, 89658569, '10')
12(61493549, 65719043) 114(24662885, 86557445) | 132(18425251, 88096307, '10')
0(61993767, 65247423) 17(16442583, 88487823) | 20(7959837, 89649843, '10')
29(48704745, 75685785) 36(45133725, 77868075) | 80(18946245, 87985965, '10')
0(59505803, 67525453) 2(23898557, 86772613) | 3(7859257, 89659687, '10')
1(60518571, 66619749) 14(21609861, 87371061) | 15(8896029, 89563101, '10')
20(46820375, 76867175) 21(43968995, 78533035) | 51(8664005, 89585965, '10')
2(59496501, 67534629) 6(34377351, 83180271) | 7(25908609, 86194569, '10')
3(48705727, 75687311) 5(45134635, 77869645) | 11(18946627, 87987739, '10')
11(59506545, 67526295) 114(23898855, 86773695) | 159(7859355, 89660805, '10')
0(61362025, 65845825) 10(28158875, 85487125) | 11(22532975, 87139175, '10')
2(58062329, 68773289) 9(49047271, 75467639) | 13(41549599, 79841281, '10')
0(61995901, 65249669) 18(16443149, 88490869) | 21(7960111, 89652929, '10')
0(59507287, 67527137) 8(23899153, 86774777) | 11(7859453, 89661923, '10')
1(48706709, 75688837) 2(45135545, 77871215) | 5(18947009, 87989513, '10')
1(59498159, 67536511) 6(34378309, 83182589) | 8(25909331, 86196971, '10')
0(59508029, 67527979) 4(23899451, 86775859) | 6(7859551, 89663041, '10')
1(59508771, 67528821) 7(23899749, 86776941) | 10(7859649, 89664159, '10')
6(48707691, 75690363) 8(45136455, 77872785) | 17(18947391, 87991287, '10')
2(61998035, 65251915) 54(16443715, 88493915) | 65(7960385, 89656015, '10')
10(57792653, 69004229) 40(30049421, 84844603) | 58(13862585, 88934825, '10')
0(59509513, 67529663) 2(23900047, 86778023) | 3(7859747, 89665277, '10')
2(59499817, 67538393) 16(34379267, 83184907) | 21(25910053, 86199373, '10')
0(58064931, 68776371) 1(49049469, 75471021) | 2(41551461, 79844859, '10')
11(48708673, 75691889) 15(45137365, 77874355) | 29(18947773, 87993061, '10')
1(59510255, 67530505) 7(23900345, 86779105) | 10(7859845, 89666395, '10')
1(59510997, 67531347) 23(23900643, 86780187) | 32(7859943, 89667513, '10')
0(57756017, 69038431) 1(54292931, 71793733) | 5(47248795, 76613405, '10')
5(59501475, 67540275) 30(34380225, 83187225) | 37(25910775, 86201775, '10')
11(48709655, 75693415) 12(45138275, 77875925) | 27(18948155, 87994835, '10')
0(62000169, 65254161) 5(16444281, 88496961) | 7(7960659, 89659101, '10')
1(58296983, 68582927) 2(42349783, 79427023) | 3(33778163, 83433757, '10')
1(59511739, 67532189) 7(23900941, 86781269) | 10(7860041, 89668631, '10')
1(59512481, 67533031) 8(23901239, 86782351) | 10(7860139, 89669749, '10')
7(48710637, 75694941) 8(45139185, 77877495) | 17(18948537, 87996609, '10')
2(58067533, 68779453) 4(49051667, 75474403) | 6(41553323, 79848437, '10')
2(60525197, 66627043) 13(21612227, 87380627) | 15(8897003, 89572907, '10')
0(61740917, 65502653) 9(15488663, 88671527) | 11(755197, 90010933, '10')
0(59503133, 67542157) 4(34381183, 83189543) | 7(25911497, 86204177, '10')
1(59513223, 67533873) 7(23901537, 86783433) | 10(7860237, 89670867, '10')
